class_name;class_idx;prompt
attention_zone_sign;1;'a photo of a small <name> in a desert at noon'
attention_zone_sign;2;'a photo of a rusted <name> in a forest'
attention_zone_sign;3;'a photo of a bright <name>'
attention_zone_sign;4;'a photo of a faded <name> in the rain'
attention_zone_sign;5;'a photo of an <name> on a mountain path in fog'
attention_zone_sign;6;'a photo of an <name> on a busy street at daytime'
attention_zone_sign;7;'a photo of a reflective <name> at night'
attention_zone_sign;8;'a photo of an <name> by a lake at dawn'
attention_zone_sign;9;'a photo of a bright <name> on a bridge at night'
attention_zone_sign;10;'a photo of a damaged <name> by the roadside'
end_of_restriction_sign;1;'a photo of an <name> at night'
end_of_restriction_sign;2;'a photo of a new <name> in dense fog'
end_of_restriction_sign;3;'a photo of an <name> on a bridge in heavy snowfall at night'
end_of_restriction_sign;4;'a photo of a weathered <name> in the desert'
end_of_restriction_sign;5;'a photo of an <name> on a deserted highway'
end_of_restriction_sign;6;'a photo of a rusty <name> at sunset'
end_of_restriction_sign;7;'a photo of an <name>'
end_of_restriction_sign;8;'a photo of an <name> on a coastal road under a clear blue sky'
end_of_restriction_sign;9;'a photo of a large <name> in a field on a sunny day'
end_of_restriction_sign;10;'a photo of an <name> beside a lake'
give_way_sign;1;'A photo of a <name> beside a frozen lake in winter'
give_way_sign;2;'A photo of a towering <name> on a mountain pass'
give_way_sign;3;'A photo of a <name> on a busy street'
give_way_sign;4;'A photo of a <name> under bright city lights at night'
give_way_sign;5;'A photo of a <name> during a snowstorm'
give_way_sign;6;'A photo of a <name> at dusk'
give_way_sign;7;'A photo of a <name> in the rain'
give_way_sign;8;'A photo of a rusty <name>'
give_way_sign;9;'A photo of a <name>'
give_way_sign;10;'A photo of a <name> at sunrise'
highway_exit_in_100m_sign;1;'a photo of a rusty <name> beside the road'
highway_exit_in_100m_sign;2;'a photo of a <name> on a sunny afternoon by the sea'
highway_exit_in_100m_sign;3;'a photo of a brightly lit <name> in a tunnel'
highway_exit_in_100m_sign;4;'a photo of a <name> on a clear day'
highway_exit_in_100m_sign;5;'a photo of a <name> with a mountain backdrop'
highway_exit_in_100m_sign;6;'a photo of a <name> under the rain at dusk'
highway_exit_in_100m_sign;7;'a photo of a <name>'
highway_exit_in_100m_sign;8;'a photo of a weathered <name> during a rainstorm'
highway_exit_in_100m_sign;9;'a photo of a <name> at night surrounded by fog'
highway_exit_in_100m_sign;10;'a photo of a shiny new <name> in the early morning'
highway_exit_in_200m_sign;1;'a photo of a shiny new <name> by a lake'
highway_exit_in_200m_sign;2;'a photo of a faded <name> in a desert'
highway_exit_in_200m_sign;3;'a photo of a rusty <name> by the roadside'
highway_exit_in_200m_sign;4;'a photo of a <name> during a storm, with lightning in the distance'
highway_exit_in_200m_sign;5;'a photo of a <name> with graffiti, in an urban area'
highway_exit_in_200m_sign;6;'a photo of a <name> in fog at dawn'
highway_exit_in_200m_sign;7;'a photo of a <name> on a bustling city street at evening'
highway_exit_in_200m_sign;8;'a photo of a <name> with mountains in the background'
highway_exit_in_200m_sign;9;'a photo of a <name> at night under streetlights'
highway_exit_in_200m_sign;10;'a photo of a towering <name> near a forest'
highway_exit_in_300m_sign;1;'a photo of a faded <name> in a tunnel'
highway_exit_in_300m_sign;2;'a photo of a <name> by the ocean'
highway_exit_in_300m_sign;3;'a photo of a towering <name> in the countryside'
highway_exit_in_300m_sign;4;'a photo of a <name> with mountains in the background'
highway_exit_in_300m_sign;5;'a photo of a graffiti-covered <name> on a sunny afternoon'
highway_exit_in_300m_sign;6;'a photo of a reflective <name> at twilight'
highway_exit_in_300m_sign;7;'a photo of a <name> under snowfall at night'
highway_exit_in_300m_sign;8;'a photo of a <name> at sunrise with fog'
highway_exit_in_300m_sign;9;'a photo of a <name> with autumn leaves falling'
highway_exit_in_300m_sign;10;'a photo of a <name> on a deserted road at midnight'
highway_exit_sign;1;'a photo of a glowing <name> at night'
highway_exit_sign;2;'a photo of a bright <name> on a foggy morning'
highway_exit_sign;3;'a photo of a damaged <name> during a rainstorm'
highway_exit_sign;4;'a photo of a <name> surrounded by autumn leaves'
highway_exit_sign;5;'a photo of a weathered <name> in snow'
highway_exit_sign;6;'a photo of a new <name> under a rainbow after rain'
highway_exit_sign;7;'a photo of a <name> with a city skyline in the twilight'
highway_exit_sign;8;'a photo of a reflective <name> on a stormy evening'
highway_exit_sign;9;'a photo of a <name> on a sunny day by the coast'
highway_exit_sign;10;'a photo of a large <name> at sunset'
mandatory_direction_sign;1;'A photo of a bright yellow <name> in a tunnel'
mandatory_direction_sign;2;'A photo of a faded <name> on a busy highway'
mandatory_direction_sign;3;'A photo of a <name> with a mountain in the background during sunset'
mandatory_direction_sign;4;'A photo of a <name> at night'
mandatory_direction_sign;5;'A photo of a <name>'
mandatory_direction_sign;6;'A photo of a <name> by the sea at midday'
mandatory_direction_sign;7;'A photo of a large <name> at a deserted intersection at dawn'
mandatory_direction_sign;8;'A photo of a <name> at a crossroad during a storm'
mandatory_direction_sign;9;'A photo of an old <name> in a field on a foggy morning'
mandatory_direction_sign;10;'A photo of a new <name> in the rain'
no_entry_sign;1;'a photo of a <name>'
no_entry_sign;2;'a photo of a <name> with graffiti at dawn'
no_entry_sign;3;'a photo of an old <name>'
no_entry_sign;4;'a photo of a shiny new <name> under the clear night sky'
no_entry_sign;5;'a photo of a <name> covered in snow'
no_entry_sign;6;'a photo of a <name> at sunset in the mountains'
no_entry_sign;7;'a photo of a <name> in a bustling city street at noon'
no_entry_sign;8;'a photo of a faded <name> during a storm'
no_entry_sign;9;'a photo of a <name> surrounded by autumn leaves'
no_entry_sign;10;'a photo of a rusty <name> in a deserted alley'
no_overtaking_sign;1;'a photo of a <name> under a cloudy sky'
no_overtaking_sign;2;'a photo of a rusty <name> in a forest'
no_overtaking_sign;3;'a photo of a <name> on a mountain road in fog'
no_overtaking_sign;4;'a photo of a <name> with graffiti on a busy highway during the afternoon'
no_overtaking_sign;5;'a photo of a <name> in snow'
no_overtaking_sign;6;'a photo of a <name> at the entrance of a tunnel at night'
no_overtaking_sign;7;'a photo of an old <name> on a misty road at dawn'
no_overtaking_sign;8;'a photo of a faded <name> at night'
no_overtaking_sign;9;'a photo of a <name> on a desert road at sunset'
no_overtaking_sign;10;'a photo of a <name> near a bridge over a river at sunrise'
no_parking_sign;1;'a photo of a <name> at dawn'
no_parking_sign;2;'a photo of a <name>'
no_parking_sign;3;'a photo of a <name> during a sunny afternoon'
no_parking_sign;4;'a photo of a <name> surrounded by autumn leaves'
no_parking_sign;5;'a photo of a <name> with graffiti'
no_parking_sign;6;'a photo of a <name> during a thunderstorm'
no_parking_sign;7;'a photo of a worn <name>'
no_parking_sign;8;'a photo of a new <name> under the clear blue sky'
no_parking_sign;9;'a photo of a faded <name> in snow'
no_parking_sign;10;'a photo of a <name> by the seaside'
parking_sign;1;'a photo of a reflective <name> on a quiet road at dusk'
parking_sign;2;'a photo of a rusty <name>'
