,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,3.9063256,Loss,Training
1,0,8,0,3.450447,Loss,Validation
2,0,8,0,0.30722684,Accuracy,Training
3,0,8,0,0.24442597,Accuracy,Validation
4,0,8,0,3.7701766,Loss Person,Training
5,0,8,0,3.768555,Loss Person,Validation
6,0,8,0,0.4050633,Accuracy Person,Training
7,0,8,0,0.19012707,Accuracy Person,Validation
8,0,8,0,3.673083,Loss Bicycle,Training
9,0,8,0,3.5393448,Loss Bicycle,Validation
10,0,8,0,0.5862069,Accuracy Bicycle,Training
11,0,8,0,0.5846154,Accuracy Bicycle,Validation
12,0,8,0,3.703457,Loss Car,Training
13,0,8,0,3.6690624,Loss Car,Validation
14,0,8,0,0.443038,Accuracy Car,Training
15,0,8,0,0.3473054,Accuracy Car,Validation
16,0,8,0,4.072734,Loss Motorcycle,Training
17,0,8,0,3.9386194,Loss Motorcycle,Validation
18,0,8,0,0.08108108,Accuracy Motorcycle,Training
19,0,8,0,0.12068965,Accuracy Motorcycle,Validation
20,0,8,0,4.0932283,Loss Airplane,Training
21,0,8,0,4.0029,Loss Airplane,Validation
22,0,8,0,0.12162162,Accuracy Airplane,Training
23,0,8,0,0.13592233,Accuracy Airplane,Validation
24,0,8,0,4.0206957,Loss Bus,Training
25,0,8,0,3.793099,Loss Bus,Validation
26,0,8,0,0.20987654,Accuracy Bus,Training
27,0,8,0,0.5535714,Accuracy Bus,Validation
28,0,8,0,3.9329202,Loss Train,Training
29,0,8,0,3.8091214,Loss Train,Validation
30,0,8,0,0.43055555,Accuracy Train,Training
31,0,8,0,0.5967742,Accuracy Train,Validation
32,0,8,0,3.860531,Loss Truck,Training
33,0,8,0,3.8563275,Loss Truck,Validation
34,0,8,0,0.35526314,Accuracy Truck,Training
35,0,8,0,0.06818182,Accuracy Truck,Validation
36,0,8,0,3.883892,Loss Boat,Training
37,0,8,0,3.7758603,Loss Boat,Validation
38,0,8,0,0.22222222,Accuracy Boat,Training
39,0,8,0,0.34146342,Accuracy Boat,Validation
40,0,8,0,3.9515953,Loss Traffic Light,Training
41,0,8,0,3.825321,Loss Traffic Light,Validation
42,0,8,0,0.31428573,Accuracy Traffic Light,Training
43,0,8,0,0.23188406,Accuracy Traffic Light,Validation
44,0,8,0,3.861322,Loss Fire Hydrant,Training
45,0,8,0,3.5816524,Loss Fire Hydrant,Validation
46,0,8,0,0.23809524,Accuracy Fire Hydrant,Training
47,0,8,0,0.37096775,Accuracy Fire Hydrant,Validation
48,0,8,0,3.9619954,Loss Stop Sign,Training
49,0,8,0,3.7948256,Loss Stop Sign,Validation
50,0,8,0,0.13333334,Accuracy Stop Sign,Training
51,0,8,0,0.0952381,Accuracy Stop Sign,Validation
52,0,8,0,3.864465,Loss Parking Meter,Training
53,0,8,0,3.7463465,Loss Parking Meter,Validation
54,0,8,0,0.31944445,Accuracy Parking Meter,Training
55,0,8,0,0.4090909,Accuracy Parking Meter,Validation
56,0,8,0,3.9897995,Loss Bench,Training
57,0,8,0,3.9087484,Loss Bench,Validation
58,0,8,0,0.12987013,Accuracy Bench,Training
59,0,8,0,0.15384616,Accuracy Bench,Validation
60,0,8,0,4.1086164,Loss Bird,Training
61,0,8,0,4.043308,Loss Bird,Validation
62,0,8,0,0.08045977,Accuracy Bird,Training
63,0,8,0,0.15584415,Accuracy Bird,Validation
64,0,8,0,3.6782832,Loss Cat,Training
65,0,8,0,3.4230306,Loss Cat,Validation
66,0,8,0,0.6375,Accuracy Cat,Training
67,0,8,0,0.7196262,Accuracy Cat,Validation
68,0,8,0,4.1084614,Loss Dog,Training
69,0,8,0,3.936174,Loss Dog,Validation
70,0,8,0,0.16883117,Accuracy Dog,Training
71,0,8,0,0.0,Accuracy Dog,Validation
72,0,8,0,3.862395,Loss Horse,Training
73,0,8,0,3.8134232,Loss Horse,Validation
74,0,8,0,0.4025974,Accuracy Horse,Training
75,0,8,0,0.16058394,Accuracy Horse,Validation
76,0,8,0,3.8716419,Loss Sheep,Training
77,0,8,0,3.7488878,Loss Sheep,Validation
78,0,8,0,0.4084507,Accuracy Sheep,Training
79,0,8,0,0.11111111,Accuracy Sheep,Validation
80,0,8,0,3.6228414,Loss Cow,Training
81,0,8,0,3.4075413,Loss Cow,Validation
82,0,8,0,0.7113402,Accuracy Cow,Training
83,0,8,0,0.75238097,Accuracy Cow,Validation
84,0,8,0,3.9641929,Loss Elephant,Training
85,0,8,0,3.918646,Loss Elephant,Validation
86,0,8,0,0.40963855,Accuracy Elephant,Training
87,0,8,0,0.47863248,Accuracy Elephant,Validation
88,0,8,0,4.0263777,Loss Bear,Training
89,0,8,0,3.9866703,Loss Bear,Validation
90,0,8,0,0.34444445,Accuracy Bear,Training
91,0,8,0,0.19642857,Accuracy Bear,Validation
92,0,8,0,4.309448,Loss Zebra,Training
93,0,8,0,4.151047,Loss Zebra,Validation
94,0,8,0,0.016949153,Accuracy Zebra,Training
95,0,8,0,0.01010101,Accuracy Zebra,Validation
96,0,8,0,3.9001555,Loss Giraffe,Training
97,0,8,0,3.6045082,Loss Giraffe,Validation
98,0,8,0,0.32394367,Accuracy Giraffe,Training
99,0,8,0,0.20833333,Accuracy Giraffe,Validation
100,0,8,0,3.8394442,Loss Backpack,Training
101,0,8,0,4.079528,Loss Backpack,Validation
102,0,8,0,0.38356164,Accuracy Backpack,Training
103,0,8,0,0.0,Accuracy Backpack,Validation
104,0,8,0,3.858016,Loss Umbrella,Training
105,0,8,0,3.7401688,Loss Umbrella,Validation
106,0,8,0,0.32608697,Accuracy Umbrella,Training
107,0,8,0,0.24,Accuracy Umbrella,Validation
108,0,8,0,3.8891082,Loss Handbag,Training
109,0,8,0,0.0,Loss Handbag,Validation
110,0,8,0,0.27142859,Accuracy Handbag,Training
111,0,8,0,0.0,Accuracy Handbag,Validation
112,0,8,0,4.0531716,Loss Tie,Training
113,0,8,0,3.4863527,Loss Tie,Validation
114,0,8,0,0.25974026,Accuracy Tie,Training
115,0,8,0,0.0,Accuracy Tie,Validation
116,0,8,0,3.7849576,Loss Suitcase,Training
117,0,8,0,3.575179,Loss Suitcase,Validation
118,0,8,0,0.23376623,Accuracy Suitcase,Training
119,0,8,0,0.34375,Accuracy Suitcase,Validation
120,0,8,0,4.026161,Loss Frisbee,Training
121,0,8,0,3.6435077,Loss Frisbee,Validation
122,0,8,0,0.16176471,Accuracy Frisbee,Training
123,0,8,0,0.0,Accuracy Frisbee,Validation
124,0,8,0,4.0706277,Loss Skis,Training
125,0,8,0,0.0,Loss Skis,Validation
126,0,8,0,0.06521739,Accuracy Skis,Training
127,0,8,0,0.0,Accuracy Skis,Validation
128,0,8,0,3.667928,Loss Snowboard,Training
129,0,8,0,3.5524008,Loss Snowboard,Validation
130,0,8,0,0.7777778,Accuracy Snowboard,Training
131,0,8,0,0.5,Accuracy Snowboard,Validation
132,0,8,0,4.005088,Loss Sports Ball,Training
133,0,8,0,0.0,Loss Sports Ball,Validation
134,0,8,0,0.13846155,Accuracy Sports Ball,Training
135,0,8,0,0.0,Accuracy Sports Ball,Validation
136,0,8,0,3.8397853,Loss Kite,Training
137,0,8,0,3.5857303,Loss Kite,Validation
138,0,8,0,0.16666667,Accuracy Kite,Training
139,0,8,0,0.537037,Accuracy Kite,Validation
140,0,8,0,3.881948,Loss Baseball Bat,Training
141,0,8,0,0.0,Loss Baseball Bat,Validation
142,0,8,0,0.23595506,Accuracy Baseball Bat,Training
143,0,8,0,0.0,Accuracy Baseball Bat,Validation
144,0,8,0,3.7510757,Loss Baseball Glove,Training
145,0,8,0,3.813002,Loss Baseball Glove,Validation
146,0,8,0,0.8125,Accuracy Baseball Glove,Training
147,0,8,0,0.0,Accuracy Baseball Glove,Validation
148,0,8,0,3.696844,Loss Skateboard,Training
149,0,8,0,3.56806,Loss Skateboard,Validation
150,0,8,0,0.50574714,Accuracy Skateboard,Training
151,0,8,0,0.5,Accuracy Skateboard,Validation
152,0,8,0,3.6487548,Loss Surfboard,Training
153,0,8,0,3.527383,Loss Surfboard,Validation
154,0,8,0,0.62650603,Accuracy Surfboard,Training
155,0,8,0,0.48,Accuracy Surfboard,Validation
156,0,8,0,3.9858303,Loss Tennis Racket,Training
157,0,8,0,0.0,Loss Tennis Racket,Validation
158,0,8,0,0.28735632,Accuracy Tennis Racket,Training
159,0,8,0,0.0,Accuracy Tennis Racket,Validation
160,0,8,0,3.7286456,Loss Bottle,Training
161,0,8,0,3.7763355,Loss Bottle,Validation
162,0,8,0,0.5888889,Accuracy Bottle,Training
163,0,8,0,0.15,Accuracy Bottle,Validation
164,0,8,0,4.063405,Loss Wine Glass,Training
165,0,8,0,0.0,Loss Wine Glass,Validation
166,0,8,0,0.20779221,Accuracy Wine Glass,Training
167,0,8,0,0.0,Accuracy Wine Glass,Validation
168,0,8,0,3.6630003,Loss Cup,Training
169,0,8,0,3.7282083,Loss Cup,Validation
170,0,8,0,0.57471263,Accuracy Cup,Training
171,0,8,0,0.30769232,Accuracy Cup,Validation
172,0,8,0,3.9714324,Loss Fork,Training
173,0,8,0,3.7706628,Loss Fork,Validation
174,0,8,0,0.0,Accuracy Fork,Training
175,0,8,0,0.125,Accuracy Fork,Validation
176,0,8,0,4.0633564,Loss Knife,Training
177,0,8,0,4.020021,Loss Knife,Validation
178,0,8,0,0.23529412,Accuracy Knife,Training
179,0,8,0,0.0,Accuracy Knife,Validation
180,0,8,0,4.0567045,Loss Spoon,Training
181,0,8,0,3.6794004,Loss Spoon,Validation
182,0,8,0,0.11627907,Accuracy Spoon,Training
183,0,8,0,0.0,Accuracy Spoon,Validation
184,0,8,0,3.7376182,Loss Bowl,Training
185,0,8,0,3.6959121,Loss Bowl,Validation
186,0,8,0,0.33333334,Accuracy Bowl,Training
187,0,8,0,0.32394367,Accuracy Bowl,Validation
188,0,8,0,4.0770288,Loss Banana,Training
189,0,8,0,3.9838555,Loss Banana,Validation
190,0,8,0,0.22093023,Accuracy Banana,Training
191,0,8,0,0.32786885,Accuracy Banana,Validation
192,0,8,0,4.0631957,Loss Apple,Training
193,0,8,0,3.964028,Loss Apple,Validation
194,0,8,0,0.22093023,Accuracy Apple,Training
195,0,8,0,0.3529412,Accuracy Apple,Validation
196,0,8,0,3.7161956,Loss Sandwich,Training
197,0,8,0,3.4368827,Loss Sandwich,Validation
198,0,8,0,0.6396396,Accuracy Sandwich,Training
199,0,8,0,0.8333333,Accuracy Sandwich,Validation
200,0,8,0,4.420217,Loss Orange,Training
201,0,8,0,4.233687,Loss Orange,Validation
202,0,8,0,0.0,Accuracy Orange,Training
203,0,8,0,0.0,Accuracy Orange,Validation
204,0,8,0,4.0406785,Loss Broccoli,Training
205,0,8,0,3.7873895,Loss Broccoli,Validation
206,0,8,0,0.19178082,Accuracy Broccoli,Training
207,0,8,0,0.31034482,Accuracy Broccoli,Validation
208,0,8,0,3.9935925,Loss Carrot,Training
209,0,8,0,3.7396164,Loss Carrot,Validation
210,0,8,0,0.07368421,Accuracy Carrot,Training
