,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,3.9872277,Loss,Training
1,0,8,0,3.4833465,Loss,Validation
2,0,8,0,0.22734873,Accuracy,Training
3,0,8,0,0.24947274,Accuracy,Validation
4,0,8,0,3.8872035,Loss Person,Training
5,0,8,0,3.7806463,Loss Person,Validation
6,0,8,0,0.278481,Accuracy Person,Training
7,0,8,0,0.20185728,Accuracy Person,Validation
8,0,8,0,3.7830334,Loss Bicycle,Training
9,0,8,0,3.565982,Loss Bicycle,Validation
10,0,8,0,0.42528737,Accuracy Bicycle,Training
11,0,8,0,0.6,Accuracy Bicycle,Validation
12,0,8,0,3.883711,Loss Car,Training
13,0,8,0,3.7485151,Loss Car,Validation
14,0,8,0,0.16455697,Accuracy Car,Training
15,0,8,0,0.25748503,Accuracy Car,Validation
16,0,8,0,4.105713,Loss Motorcycle,Training
17,0,8,0,3.970438,Loss Motorcycle,Validation
18,0,8,0,0.067567565,Accuracy Motorcycle,Training
19,0,8,0,0.0862069,Accuracy Motorcycle,Validation
20,0,8,0,4.11078,Loss Airplane,Training
21,0,8,0,4.006531,Loss Airplane,Validation
22,0,8,0,0.13513513,Accuracy Airplane,Training
23,0,8,0,0.18446602,Accuracy Airplane,Validation
24,0,8,0,4.067783,Loss Bus,Training
25,0,8,0,3.833521,Loss Bus,Validation
26,0,8,0,0.13580246,Accuracy Bus,Training
27,0,8,0,0.50595236,Accuracy Bus,Validation
28,0,8,0,3.9868155,Loss Train,Training
29,0,8,0,3.8620255,Loss Train,Validation
30,0,8,0,0.4722222,Accuracy Train,Training
31,0,8,0,0.55376345,Accuracy Train,Validation
32,0,8,0,3.9702795,Loss Truck,Training
33,0,8,0,3.8986895,Loss Truck,Validation
34,0,8,0,0.17105263,Accuracy Truck,Training
35,0,8,0,0.060606062,Accuracy Truck,Validation
36,0,8,0,3.9983509,Loss Boat,Training
37,0,8,0,3.850078,Loss Boat,Validation
38,0,8,0,0.19444445,Accuracy Boat,Training
39,0,8,0,0.28455284,Accuracy Boat,Validation
40,0,8,0,4.002071,Loss Traffic Light,Training
41,0,8,0,3.8679855,Loss Traffic Light,Validation
42,0,8,0,0.12857144,Accuracy Traffic Light,Training
43,0,8,0,0.2173913,Accuracy Traffic Light,Validation
44,0,8,0,4.0175214,Loss Fire Hydrant,Training
45,0,8,0,3.6888916,Loss Fire Hydrant,Validation
46,0,8,0,0.14285715,Accuracy Fire Hydrant,Training
47,0,8,0,0.19354838,Accuracy Fire Hydrant,Validation
48,0,8,0,3.9636247,Loss Stop Sign,Training
49,0,8,0,3.819524,Loss Stop Sign,Validation
50,0,8,0,0.24444444,Accuracy Stop Sign,Training
51,0,8,0,0.14285715,Accuracy Stop Sign,Validation
52,0,8,0,3.950306,Loss Parking Meter,Training
53,0,8,0,3.7900796,Loss Parking Meter,Validation
54,0,8,0,0.15277778,Accuracy Parking Meter,Training
55,0,8,0,0.59090906,Accuracy Parking Meter,Validation
56,0,8,0,4.022253,Loss Bench,Training
57,0,8,0,3.8835375,Loss Bench,Validation
58,0,8,0,0.116883114,Accuracy Bench,Training
59,0,8,0,0.16346154,Accuracy Bench,Validation
60,0,8,0,4.153848,Loss Bird,Training
61,0,8,0,4.0427,Loss Bird,Validation
62,0,8,0,0.10344828,Accuracy Bird,Training
63,0,8,0,0.16883117,Accuracy Bird,Validation
64,0,8,0,3.8547578,Loss Cat,Training
65,0,8,0,3.4153562,Loss Cat,Validation
66,0,8,0,0.45,Accuracy Cat,Training
67,0,8,0,0.7943925,Accuracy Cat,Validation
68,0,8,0,4.1601763,Loss Dog,Training
69,0,8,0,3.9002345,Loss Dog,Validation
70,0,8,0,0.12987013,Accuracy Dog,Training
71,0,8,0,0.028985508,Accuracy Dog,Validation
72,0,8,0,3.9338264,Loss Horse,Training
73,0,8,0,3.8475347,Loss Horse,Validation
74,0,8,0,0.3116883,Accuracy Horse,Training
75,0,8,0,0.1459854,Accuracy Horse,Validation
76,0,8,0,3.9793043,Loss Sheep,Training
77,0,8,0,3.7936008,Loss Sheep,Validation
78,0,8,0,0.30985916,Accuracy Sheep,Training
79,0,8,0,0.18055555,Accuracy Sheep,Validation
80,0,8,0,3.713075,Loss Cow,Training
81,0,8,0,3.4613883,Loss Cow,Validation
82,0,8,0,0.6701031,Accuracy Cow,Training
83,0,8,0,0.7904762,Accuracy Cow,Validation
84,0,8,0,4.0694637,Loss Elephant,Training
85,0,8,0,3.9710467,Loss Elephant,Validation
86,0,8,0,0.24096386,Accuracy Elephant,Training
87,0,8,0,0.51282054,Accuracy Elephant,Validation
88,0,8,0,4.067362,Loss Bear,Training
89,0,8,0,3.991427,Loss Bear,Validation
90,0,8,0,0.33333334,Accuracy Bear,Training
91,0,8,0,0.4107143,Accuracy Bear,Validation
92,0,8,0,4.351148,Loss Zebra,Training
93,0,8,0,4.192611,Loss Zebra,Validation
94,0,8,0,0.0,Accuracy Zebra,Training
95,0,8,0,0.030303031,Accuracy Zebra,Validation
96,0,8,0,3.9740286,Loss Giraffe,Training
97,0,8,0,3.7225237,Loss Giraffe,Validation
98,0,8,0,0.28169015,Accuracy Giraffe,Training
99,0,8,0,0.1875,Accuracy Giraffe,Validation
100,0,8,0,3.959183,Loss Backpack,Training
101,0,8,0,4.1409674,Loss Backpack,Validation
102,0,8,0,0.2739726,Accuracy Backpack,Training
103,0,8,0,0.0,Accuracy Backpack,Validation
104,0,8,0,3.9053771,Loss Umbrella,Training
105,0,8,0,3.7768967,Loss Umbrella,Validation
