,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,3.937673,Loss,Training
1,0,8,0,3.4319954,Loss,Validation
2,0,8,0,0.274185,Accuracy,Training
3,0,8,0,0.27322635,Accuracy,Validation
4,0,8,0,3.81088,Loss Person,Training
5,0,8,0,3.8882213,Loss Person,Validation
6,0,8,0,0.41095892,Accuracy Person,Training
7,0,8,0,0.0610761,Accuracy Person,Validation
8,0,8,0,3.8704464,Loss Bicycle,Training
9,0,8,0,3.620833,Loss Bicycle,Validation
10,0,8,0,0.37142858,Accuracy Bicycle,Training
11,0,8,0,0.5,Accuracy Bicycle,Validation
12,0,8,0,3.882769,Loss Car,Training
13,0,8,0,3.6152332,Loss Car,Validation
14,0,8,0,0.2112676,Accuracy Car,Training
15,0,8,0,0.2857143,Accuracy Car,Validation
16,0,8,0,3.9996705,Loss Motorcycle,Training
17,0,8,0,3.6666496,Loss Motorcycle,Validation
18,0,8,0,0.1875,Accuracy Motorcycle,Training
19,0,8,0,0.544,Accuracy Motorcycle,Validation
20,0,8,0,4.1151705,Loss Airplane,Training
21,0,8,0,3.9100761,Loss Airplane,Validation
22,0,8,0,0.22105263,Accuracy Airplane,Training
23,0,8,0,0.49019608,Accuracy Airplane,Validation
24,0,8,0,3.8945768,Loss Bus,Training
25,0,8,0,3.7075233,Loss Bus,Validation
26,0,8,0,0.30337077,Accuracy Bus,Training
27,0,8,0,0.32596686,Accuracy Bus,Validation
28,0,8,0,4.042989,Loss Train,Training
29,0,8,0,3.9289768,Loss Train,Validation
30,0,8,0,0.17948718,Accuracy Train,Training
31,0,8,0,0.1871345,Accuracy Train,Validation
32,0,8,0,3.8341482,Loss Truck,Training
33,0,8,0,3.7117503,Loss Truck,Validation
34,0,8,0,0.3258427,Accuracy Truck,Training
35,0,8,0,0.11627907,Accuracy Truck,Validation
36,0,8,0,3.83351,Loss Boat,Training
37,0,8,0,3.7396371,Loss Boat,Validation
38,0,8,0,0.47674417,Accuracy Boat,Training
39,0,8,0,0.5729167,Accuracy Boat,Validation
40,0,8,0,4.0731544,Loss Traffic Light,Training
41,0,8,0,3.8949788,Loss Traffic Light,Validation
42,0,8,0,0.071428575,Accuracy Traffic Light,Training
43,0,8,0,0.083333336,Accuracy Traffic Light,Validation
44,0,8,0,3.6075523,Loss Fire Hydrant,Training
45,0,8,0,3.203581,Loss Fire Hydrant,Validation
46,0,8,0,0.686747,Accuracy Fire Hydrant,Training
47,0,8,0,0.87096775,Accuracy Fire Hydrant,Validation
48,0,8,0,3.9662774,Loss Stop Sign,Training
49,0,8,0,3.702675,Loss Stop Sign,Validation
50,0,8,0,0.31325302,Accuracy Stop Sign,Training
51,0,8,0,0.5294118,Accuracy Stop Sign,Validation
52,0,8,0,4.1723003,Loss Parking Meter,Training
53,0,8,0,3.9904387,Loss Parking Meter,Validation
54,0,8,0,0.04347826,Accuracy Parking Meter,Training
55,0,8,0,0.0,Accuracy Parking Meter,Validation
56,0,8,0,3.8081841,Loss Bench,Training
57,0,8,0,3.7028427,Loss Bench,Validation
58,0,8,0,0.45348838,Accuracy Bench,Training
59,0,8,0,0.24242425,Accuracy Bench,Validation
60,0,8,0,3.9488964,Loss Bird,Training
61,0,8,0,3.9321895,Loss Bird,Validation
62,0,8,0,0.41573033,Accuracy Bird,Training
63,0,8,0,0.34117648,Accuracy Bird,Validation
64,0,8,0,3.8461075,Loss Cat,Training
65,0,8,0,3.4374316,Loss Cat,Validation
66,0,8,0,0.4050633,Accuracy Cat,Training
67,0,8,0,0.35514018,Accuracy Cat,Validation
68,0,8,0,3.844029,Loss Dog,Training
69,0,8,0,3.5486836,Loss Dog,Validation
70,0,8,0,0.33695653,Accuracy Dog,Training
71,0,8,0,0.31944445,Accuracy Dog,Validation
72,0,8,0,3.8912442,Loss Horse,Training
73,0,8,0,3.6277463,Loss Horse,Validation
74,0,8,0,0.29268292,Accuracy Horse,Training
75,0,8,0,0.3859649,Accuracy Horse,Validation
76,0,8,0,3.9308698,Loss Sheep,Training
77,0,8,0,3.6976912,Loss Sheep,Validation
78,0,8,0,0.49411765,Accuracy Sheep,Training
79,0,8,0,0.2923077,Accuracy Sheep,Validation
80,0,8,0,3.857449,Loss Cow,Training
81,0,8,0,3.60981,Loss Cow,Validation
82,0,8,0,0.49438202,Accuracy Cow,Training
83,0,8,0,0.5730337,Accuracy Cow,Validation
84,0,8,0,4.270952,Loss Elephant,Training
85,0,8,0,4.0630264,Loss Elephant,Validation
86,0,8,0,0.0,Accuracy Elephant,Training
87,0,8,0,0.06481481,Accuracy Elephant,Validation
88,0,8,0,4.103082,Loss Bear,Training
89,0,8,0,4.0840116,Loss Bear,Validation
90,0,8,0,0.093333334,Accuracy Bear,Training
91,0,8,0,0.0875,Accuracy Bear,Validation
92,0,8,0,4.1694317,Loss Zebra,Training
93,0,8,0,4.0270514,Loss Zebra,Validation
94,0,8,0,0.25555557,Accuracy Zebra,Training
95,0,8,0,0.3617021,Accuracy Zebra,Validation
96,0,8,0,3.892841,Loss Giraffe,Training
97,0,8,0,3.4793847,Loss Giraffe,Validation
98,0,8,0,0.38157895,Accuracy Giraffe,Training
99,0,8,0,0.74509805,Accuracy Giraffe,Validation
100,0,8,0,3.6636097,Loss Backpack,Training
101,0,8,0,3.410638,Loss Backpack,Validation
102,0,8,0,0.53608245,Accuracy Backpack,Training
103,0,8,0,0.6666667,Accuracy Backpack,Validation
104,0,8,0,4.0430975,Loss Umbrella,Training
105,0,8,0,3.954875,Loss Umbrella,Validation
106,0,8,0,0.16,Accuracy Umbrella,Training
107,0,8,0,0.04109589,Accuracy Umbrella,Validation
108,0,8,0,3.9608688,Loss Handbag,Training
109,0,8,0,0.0,Loss Handbag,Validation
110,0,8,0,0.16923077,Accuracy Handbag,Training
111,0,8,0,0.0,Accuracy Handbag,Validation
112,0,8,0,3.8498044,Loss Tie,Training
113,0,8,0,3.5990963,Loss Tie,Validation
114,0,8,0,0.5176471,Accuracy Tie,Training
115,0,8,0,0.0,Accuracy Tie,Validation
116,0,8,0,3.804991,Loss Suitcase,Training
117,0,8,0,3.6609104,Loss Suitcase,Validation
118,0,8,0,0.26744187,Accuracy Suitcase,Training
119,0,8,0,0.31428573,Accuracy Suitcase,Validation
120,0,8,0,3.8295302,Loss Frisbee,Training
121,0,8,0,3.5261116,Loss Frisbee,Validation
122,0,8,0,0.5176471,Accuracy Frisbee,Training
123,0,8,0,0.6666667,Accuracy Frisbee,Validation
124,0,8,0,4.107374,Loss Skis,Training
125,0,8,0,0.0,Loss Skis,Validation
126,0,8,0,0.04054054,Accuracy Skis,Training
127,0,8,0,0.0,Accuracy Skis,Validation
128,0,8,0,3.8435087,Loss Snowboard,Training
129,0,8,0,3.687363,Loss Snowboard,Validation
130,0,8,0,0.5138889,Accuracy Snowboard,Training
131,0,8,0,0.25,Accuracy Snowboard,Validation
