,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,3.940471,Loss,Training
1,0,8,0,3.4436164,Loss,Validation
2,0,8,0,0.26133713,Accuracy,Training
3,0,8,0,0.2705752,Accuracy,Validation
4,0,8,0,4.0350184,Loss Person,Training
5,0,8,0,3.7964516,Loss Person,Validation
6,0,8,0,0.08219178,Accuracy Person,Training
7,0,8,0,0.112840466,Accuracy Person,Validation
8,0,8,0,3.6890745,Loss Bicycle,Training
9,0,8,0,3.2626097,Loss Bicycle,Validation
10,0,8,0,0.5510204,Accuracy Bicycle,Training
11,0,8,0,0.8604651,Accuracy Bicycle,Validation
12,0,8,0,3.837958,Loss Car,Training
13,0,8,0,3.6812704,Loss Car,Validation
14,0,8,0,0.19444445,Accuracy Car,Training
15,0,8,0,0.1970803,Accuracy Car,Validation
16,0,8,0,3.846674,Loss Motorcycle,Training
17,0,8,0,3.6091719,Loss Motorcycle,Validation
18,0,8,0,0.46875,Accuracy Motorcycle,Training
19,0,8,0,0.552,Accuracy Motorcycle,Validation
20,0,8,0,4.098772,Loss Airplane,Training
21,0,8,0,4.048514,Loss Airplane,Validation
22,0,8,0,0.24050634,Accuracy Airplane,Training
23,0,8,0,0.22429906,Accuracy Airplane,Validation
24,0,8,0,4.1390467,Loss Bus,Training
25,0,8,0,3.9274056,Loss Bus,Validation
26,0,8,0,0.014285714,Accuracy Bus,Training
27,0,8,0,0.056179777,Accuracy Bus,Validation
28,0,8,0,4.268361,Loss Train,Training
29,0,8,0,4.0857306,Loss Train,Validation
30,0,8,0,0.0,Accuracy Train,Training
31,0,8,0,0.033333335,Accuracy Train,Validation
32,0,8,0,3.7735028,Loss Truck,Training
33,0,8,0,3.6370523,Loss Truck,Validation
34,0,8,0,0.4827586,Accuracy Truck,Training
35,0,8,0,0.5229358,Accuracy Truck,Validation
36,0,8,0,4.1087313,Loss Boat,Training
37,0,8,0,3.9012704,Loss Boat,Validation
38,0,8,0,0.103896104,Accuracy Boat,Training
39,0,8,0,0.18181819,Accuracy Boat,Validation
40,0,8,0,3.998461,Loss Traffic Light,Training
41,0,8,0,3.7783272,Loss Traffic Light,Validation
42,0,8,0,0.14285715,Accuracy Traffic Light,Training
43,0,8,0,0.5,Accuracy Traffic Light,Validation
44,0,8,0,3.6065636,Loss Fire Hydrant,Training
45,0,8,0,3.254847,Loss Fire Hydrant,Validation
46,0,8,0,0.5888889,Accuracy Fire Hydrant,Training
47,0,8,0,0.8727273,Accuracy Fire Hydrant,Validation
48,0,8,0,4.109347,Loss Stop Sign,Training
49,0,8,0,3.9006639,Loss Stop Sign,Validation
50,0,8,0,0.057142857,Accuracy Stop Sign,Training
51,0,8,0,0.056603774,Accuracy Stop Sign,Validation
52,0,8,0,4.078193,Loss Parking Meter,Training
53,0,8,0,3.905119,Loss Parking Meter,Validation
54,0,8,0,0.015873017,Accuracy Parking Meter,Training
55,0,8,0,0.05263158,Accuracy Parking Meter,Validation
