,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,3.945949,Loss,Training
1,0,8,0,3.469532,Loss,Validation
2,0,8,0,0.2517131,Accuracy,Training
3,0,8,0,0.22448234,Accuracy,Validation
4,0,8,0,4.001622,Loss Person,Training
5,0,8,0,3.8922956,Loss Person,Validation
6,0,8,0,0.1625,Accuracy Person,Training
7,0,8,0,0.07001972,Accuracy Person,Validation
8,0,8,0,3.7291515,Loss Bicycle,Training
9,0,8,0,3.518406,Loss Bicycle,Validation
10,0,8,0,0.4691358,Accuracy Bicycle,Training
11,0,8,0,0.5208333,Accuracy Bicycle,Validation
12,0,8,0,3.6881785,Loss Car,Training
13,0,8,0,3.4875054,Loss Car,Validation
14,0,8,0,0.5,Accuracy Car,Training
15,0,8,0,0.4764706,Accuracy Car,Validation
16,0,8,0,4.055369,Loss Motorcycle,Training
17,0,8,0,3.7849958,Loss Motorcycle,Validation
18,0,8,0,0.11764706,Accuracy Motorcycle,Training
19,0,8,0,0.29268292,Accuracy Motorcycle,Validation
20,0,8,0,4.3373423,Loss Airplane,Training
21,0,8,0,4.1222844,Loss Airplane,Validation
22,0,8,0,0.0,Accuracy Airplane,Training
23,0,8,0,0.03,Accuracy Airplane,Validation
24,0,8,0,4.267151,Loss Bus,Training
25,0,8,0,4.145332,Loss Bus,Validation
26,0,8,0,0.0,Accuracy Bus,Training
27,0,8,0,0.0,Accuracy Bus,Validation
28,0,8,0,4.175168,Loss Train,Training
29,0,8,0,3.9861567,Loss Train,Validation
30,0,8,0,0.0,Accuracy Train,Training
31,0,8,0,0.20603015,Accuracy Train,Validation
32,0,8,0,3.751891,Loss Truck,Training
33,0,8,0,3.7165275,Loss Truck,Validation
34,0,8,0,0.43243244,Accuracy Truck,Training
35,0,8,0,0.375,Accuracy Truck,Validation
36,0,8,0,4.121607,Loss Boat,Training
37,0,8,0,3.9949043,Loss Boat,Validation
38,0,8,0,0.05,Accuracy Boat,Training
39,0,8,0,0.040983606,Accuracy Boat,Validation
40,0,8,0,3.9808118,Loss Traffic Light,Training
41,0,8,0,3.7982743,Loss Traffic Light,Validation
42,0,8,0,0.22093023,Accuracy Traffic Light,Training
43,0,8,0,0.24528302,Accuracy Traffic Light,Validation
44,0,8,0,3.788856,Loss Fire Hydrant,Training
45,0,8,0,3.3183696,Loss Fire Hydrant,Validation
46,0,8,0,0.42352942,Accuracy Fire Hydrant,Training
47,0,8,0,0.68115944,Accuracy Fire Hydrant,Validation
48,0,8,0,3.9729362,Loss Stop Sign,Training
49,0,8,0,3.7046137,Loss Stop Sign,Validation
50,0,8,0,0.25,Accuracy Stop Sign,Training
51,0,8,0,0.3090909,Accuracy Stop Sign,Validation
52,0,8,0,3.9961786,Loss Parking Meter,Training
53,0,8,0,3.7627094,Loss Parking Meter,Validation
54,0,8,0,0.14457831,Accuracy Parking Meter,Training
55,0,8,0,0.4,Accuracy Parking Meter,Validation
56,0,8,0,4.080791,Loss Bench,Training
57,0,8,0,3.8325293,Loss Bench,Validation
58,0,8,0,0.18292683,Accuracy Bench,Training
59,0,8,0,0.19327731,Accuracy Bench,Validation
60,0,8,0,3.976613,Loss Bird,Training
61,0,8,0,3.867761,Loss Bird,Validation
62,0,8,0,0.24731183,Accuracy Bird,Training
63,0,8,0,0.35211268,Accuracy Bird,Validation
64,0,8,0,3.7386022,Loss Cat,Training
65,0,8,0,3.3380227,Loss Cat,Validation
66,0,8,0,0.43157893,Accuracy Cat,Training
67,0,8,0,0.5,Accuracy Cat,Validation
68,0,8,0,3.956992,Loss Dog,Training
69,0,8,0,3.7741652,Loss Dog,Validation
70,0,8,0,0.25,Accuracy Dog,Training
