,seed,examples_per_class,epoch,value,metric,split
0,0,0,0,3.923584,Loss,Training
1,0,0,0,3.5056324,Loss,Validation
2,0,0,0,0.2966148,Accuracy,Training
3,0,0,0,0.24252543,Accuracy,Validation
4,0,0,1,3.1482701,Loss,Training
5,0,0,1,3.135231,Loss,Validation
6,0,0,1,0.7507375,Accuracy,Training
7,0,0,1,0.35977024,Accuracy,Validation
8,0,0,2,2.5810385,Loss,Training
9,0,0,2,2.8682818,Loss,Validation
10,0,0,2,0.8743537,Accuracy,Training
11,0,0,2,0.4231848,Accuracy,Validation
12,0,0,3,2.1555378,Loss,Training
13,0,0,3,2.6679482,Loss,Validation
14,0,0,3,0.91592044,Accuracy,Training
15,0,0,3,0.46463385,Accuracy,Validation
16,0,0,4,1.8325897,Loss,Training
17,0,0,4,2.5146446,Loss,Validation
18,0,0,4,0.9362831,Accuracy,Training
19,0,0,4,0.48942026,Accuracy,Validation
20,0,0,5,1.5767009,Loss,Training
21,0,0,5,2.4139404,Loss,Validation
22,0,0,5,0.9558428,Accuracy,Training
23,0,0,5,0.48130298,Accuracy,Validation
24,0,0,6,1.408206,Loss,Training
25,0,0,6,2.3220575,Loss,Validation
26,0,0,6,0.9576252,Accuracy,Training
27,0,0,6,0.5108923,Accuracy,Validation
28,0,0,7,1.2707264,Loss,Training
29,0,0,7,2.2419388,Loss,Validation
30,0,0,7,0.9616291,Accuracy,Training
31,0,0,7,0.49578518,Accuracy,Validation
32,0,0,8,1.1352183,Loss,Training
33,0,0,8,2.1641164,Loss,Validation
34,0,0,8,0.9757751,Accuracy,Training
35,0,0,8,0.5111538,Accuracy,Validation
36,0,0,9,1.0477517,Loss,Training
37,0,0,9,2.125943,Loss,Validation
38,0,0,9,0.9770895,Accuracy,Training
39,0,0,9,0.53151,Accuracy,Validation
40,0,0,10,0.973662,Loss,Training
41,0,0,10,2.0646224,Loss,Validation
42,0,0,10,0.9795165,Accuracy,Training
43,0,0,10,0.53084475,Accuracy,Validation
44,0,0,11,0.9135841,Loss,Training
45,0,0,11,2.0665903,Loss,Validation
46,0,0,11,0.979781,Accuracy,Training
47,0,0,11,0.5127247,Accuracy,Validation
48,0,0,12,0.8603021,Loss,Training
49,0,0,12,2.0395815,Loss,Validation
50,0,0,12,0.9816462,Accuracy,Training
51,0,0,12,0.5106031,Accuracy,Validation
52,0,0,13,0.80376816,Loss,Training
53,0,0,13,2.0021439,Loss,Validation
54,0,0,13,0.98513526,Accuracy,Training
55,0,0,13,0.5140517,Accuracy,Validation
56,0,0,14,0.779959,Loss,Training
57,0,0,14,1.9758415,Loss,Validation
58,0,0,14,0.9869486,Accuracy,Training
59,0,0,14,0.5224223,Accuracy,Validation
60,0,0,15,0.7400588,Loss,Training
61,0,0,15,1.9432815,Loss,Validation
62,0,0,15,0.9855739,Accuracy,Training
63,0,0,15,0.5144682,Accuracy,Validation
64,0,0,16,0.71809113,Loss,Training
65,0,0,16,1.9412887,Loss,Validation
66,0,0,16,0.99043196,Accuracy,Training
67,0,0,16,0.5230435,Accuracy,Validation
68,0,0,17,0.6895386,Loss,Training
69,0,0,17,1.8934042,Loss,Validation
70,0,0,17,0.9909924,Accuracy,Training
71,0,0,17,0.530754,Accuracy,Validation
72,0,0,18,0.66466606,Loss,Training
73,0,0,18,1.8806028,Loss,Validation
74,0,0,18,0.9906365,Accuracy,Training
75,0,0,18,0.5325545,Accuracy,Validation
76,0,0,19,0.6325199,Loss,Training
77,0,0,19,1.8804138,Loss,Validation
78,0,0,19,0.99122304,Accuracy,Training
79,0,0,19,0.5219524,Accuracy,Validation
80,0,0,20,0.6270812,Loss,Training
81,0,0,20,1.8661709,Loss,Validation
82,0,0,20,0.99272233,Accuracy,Training
83,0,0,20,0.53403336,Accuracy,Validation
84,0,0,21,0.59187996,Loss,Training
85,0,0,21,1.7995431,Loss,Validation
86,0,0,21,0.9928136,Accuracy,Training
87,0,0,21,0.5459865,Accuracy,Validation
88,0,0,22,0.5795077,Loss,Training
89,0,0,22,1.8327202,Loss,Validation
90,0,0,22,0.99352396,Accuracy,Training
91,0,0,22,0.533487,Accuracy,Validation
92,0,0,23,0.5715126,Loss,Training
93,0,0,23,1.7884175,Loss,Validation
94,0,0,23,0.99356747,Accuracy,Training
95,0,0,23,0.5489698,Accuracy,Validation
96,0,0,24,0.55080366,Loss,Training
97,0,0,24,1.7924675,Loss,Validation
98,0,0,24,0.99505454,Accuracy,Training
99,0,0,24,0.54574555,Accuracy,Validation
100,0,0,25,0.5455001,Loss,Training
101,0,0,25,1.7538033,Loss,Validation
102,0,0,25,0.994168,Accuracy,Training
103,0,0,25,0.5495707,Accuracy,Validation
104,0,0,26,0.5366475,Loss,Training
105,0,0,26,1.7413117,Loss,Validation
106,0,0,26,0.99182427,Accuracy,Training
107,0,0,26,0.5486716,Accuracy,Validation
108,0,0,27,0.52100194,Loss,Training
109,0,0,27,1.7797594,Loss,Validation
110,0,0,27,0.99385893,Accuracy,Training
111,0,0,27,0.5524352,Accuracy,Validation
112,0,0,28,0.5163092,Loss,Training
113,0,0,28,1.7571137,Loss,Validation
114,0,0,28,0.99288213,Accuracy,Training
115,0,0,28,0.5432059,Accuracy,Validation
116,0,0,29,0.50474054,Loss,Training
117,0,0,29,1.6961968,Loss,Validation
118,0,0,29,0.9951354,Accuracy,Training
119,0,0,29,0.5600988,Accuracy,Validation
120,0,0,30,0.4965538,Loss,Training
121,0,0,30,1.7133954,Loss,Validation
122,0,0,30,0.9946464,Accuracy,Training
123,0,0,30,0.547956,Accuracy,Validation
124,0,0,31,0.48929667,Loss,Training
125,0,0,31,1.7263008,Loss,Validation
126,0,0,31,0.9954133,Accuracy,Training
127,0,0,31,0.54862154,Accuracy,Validation
128,0,0,32,0.48120832,Loss,Training
129,0,0,32,1.7032448,Loss,Validation
130,0,0,32,0.99533814,Accuracy,Training
131,0,0,32,0.54868734,Accuracy,Validation
132,0,0,33,0.47237617,Loss,Training
133,0,0,33,1.7252464,Loss,Validation
134,0,0,33,0.9967182,Accuracy,Training
135,0,0,33,0.5511404,Accuracy,Validation
136,0,0,34,0.47117668,Loss,Training
137,0,0,34,1.7086928,Loss,Validation
138,0,0,34,0.99494064,Accuracy,Training
139,0,0,34,0.55427855,Accuracy,Validation
140,0,0,35,0.4597103,Loss,Training
141,0,0,35,1.7073576,Loss,Validation
142,0,0,35,0.9979418,Accuracy,Training
143,0,0,35,0.555494,Accuracy,Validation
144,0,0,36,0.46241522,Loss,Training
145,0,0,36,1.6820602,Loss,Validation
146,0,0,36,0.9955758,Accuracy,Training
147,0,0,36,0.5549779,Accuracy,Validation
148,0,0,37,0.45393103,Loss,Training
149,0,0,37,1.6833519,Loss,Validation
150,0,0,37,0.9953721,Accuracy,Training
151,0,0,37,0.551245,Accuracy,Validation
152,0,0,38,0.44544873,Loss,Training
153,0,0,38,1.6864128,Loss,Validation
154,0,0,38,0.9967742,Accuracy,Training
155,0,0,38,0.5457644,Accuracy,Validation
156,0,0,39,0.44067925,Loss,Training
157,0,0,39,1.6644204,Loss,Validation
158,0,0,39,0.99587977,Accuracy,Training
159,0,0,39,0.5508543,Accuracy,Validation
160,0,0,40,0.4399143,Loss,Training
161,0,0,40,1.6787798,Loss,Validation
162,0,0,40,0.99541175,Accuracy,Training
163,0,0,40,0.54499674,Accuracy,Validation
164,0,0,41,0.43240967,Loss,Training
165,0,0,41,1.649342,Loss,Validation
166,0,0,41,0.99593437,Accuracy,Training
167,0,0,41,0.5512333,Accuracy,Validation
168,0,0,42,0.4319845,Loss,Training
169,0,0,42,1.6555436,Loss,Validation
170,0,0,42,0.995698,Accuracy,Training
171,0,0,42,0.545791,Accuracy,Validation
172,0,0,43,0.42058283,Loss,Training
173,0,0,43,1.6628287,Loss,Validation
174,0,0,43,0.99528134,Accuracy,Training
175,0,0,43,0.5429462,Accuracy,Validation
176,0,0,44,0.41255727,Loss,Training
177,0,0,44,1.6399813,Loss,Validation
178,0,0,44,0.9962627,Accuracy,Training
179,0,0,44,0.5476152,Accuracy,Validation
180,0,0,45,0.41147643,Loss,Training
181,0,0,45,1.635178,Loss,Validation
182,0,0,45,0.99657553,Accuracy,Training
183,0,0,45,0.55381024,Accuracy,Validation
184,0,0,46,0.41038865,Loss,Training
185,0,0,46,1.6170838,Loss,Validation
186,0,0,46,0.9957409,Accuracy,Training
187,0,0,46,0.560881,Accuracy,Validation
188,0,0,47,0.4113523,Loss,Training
189,0,0,47,1.6277952,Loss,Validation
190,0,0,47,0.99714136,Accuracy,Training
191,0,0,47,0.5640933,Accuracy,Validation
192,0,0,48,0.40510216,Loss,Training
193,0,0,48,1.5992289,Loss,Validation
194,0,0,48,0.9962999,Accuracy,Training
195,0,0,48,0.5620661,Accuracy,Validation
196,0,0,49,0.41179833,Loss,Training
197,0,0,49,1.6156784,Loss,Validation
198,0,0,49,0.996673,Accuracy,Training
199,0,0,49,0.5614317,Accuracy,Validation
200,0,0,50,0.41704893,Loss,Training
201,0,0,50,1.6028795,Loss,Validation
202,0,0,50,0.99607074,Accuracy,Training
203,0,0,50,0.56357956,Accuracy,Validation
204,0,0,51,0.40686226,Loss,Training
205,0,0,51,1.613978,Loss,Validation
206,0,0,51,0.99604595,Accuracy,Training
207,0,0,51,0.56418735,Accuracy,Validation
208,0,0,52,0.3930673,Loss,Training
209,0,0,52,1.6112654,Loss,Validation
210,0,0,52,0.9963317,Accuracy,Training
211,0,0,52,0.54807556,Accuracy,Validation
212,0,0,53,0.39606342,Loss,Training
213,0,0,53,1.6093872,Loss,Validation
214,0,0,53,0.9955503,Accuracy,Training
215,0,0,53,0.56448853,Accuracy,Validation
216,0,0,54,0.39966258,Loss,Training
217,0,0,54,1.6029555,Loss,Validation
218,0,0,54,0.995763,Accuracy,Training
219,0,0,54,0.5614258,Accuracy,Validation
220,0,0,55,0.3909182,Loss,Training
221,0,0,55,1.6047211,Loss,Validation
222,0,0,55,0.9959098,Accuracy,Training
223,0,0,55,0.5566969,Accuracy,Validation
224,0,0,56,0.39594218,Loss,Training
225,0,0,56,1.6102813,Loss,Validation
226,0,0,56,0.9965992,Accuracy,Training
