,seed,examples_per_class,epoch,value,metric,split
0,1,0,0,4.080914,Loss,Training
1,1,0,0,3.4515738,Loss,Validation
2,1,0,0,0.13119073,Accuracy,Training
3,1,0,0,0.23393059,Accuracy,Validation
4,1,0,1,3.5708556,Loss,Training
5,1,0,1,3.1866453,Loss,Validation
6,1,0,1,0.37306446,Accuracy,Training
7,1,0,1,0.405684,Accuracy,Validation
8,1,0,2,3.1969378,Loss,Training
9,1,0,2,2.8267696,Loss,Validation
10,1,0,2,0.47846738,Accuracy,Training
11,1,0,2,0.47302046,Accuracy,Validation
12,1,0,3,2.9096408,Loss,Training
13,1,0,3,2.581044,Loss,Validation
14,1,0,3,0.5382494,Accuracy,Training
15,1,0,3,0.50851923,Accuracy,Validation
16,1,0,4,2.6707058,Loss,Training
17,1,0,4,2.4154155,Loss,Validation
18,1,0,4,0.56889427,Accuracy,Training
19,1,0,4,0.5299238,Accuracy,Validation
20,1,0,5,2.470243,Loss,Training
21,1,0,5,2.2118044,Loss,Validation
22,1,0,5,0.59366065,Accuracy,Training
23,1,0,5,0.49853086,Accuracy,Validation
24,1,0,6,2.291369,Loss,Training
25,1,0,6,2.0643275,Loss,Validation
26,1,0,6,0.6156312,Accuracy,Training
27,1,0,6,0.5353653,Accuracy,Validation
28,1,0,7,2.1460938,Loss,Training
29,1,0,7,2.0006034,Loss,Validation
30,1,0,7,0.62883013,Accuracy,Training
31,1,0,7,0.5524539,Accuracy,Validation
32,1,0,8,2.0504892,Loss,Training
33,1,0,8,1.8392751,Loss,Validation
34,1,0,8,0.6294462,Accuracy,Training
35,1,0,8,0.5473149,Accuracy,Validation
36,1,0,9,1.9076172,Loss,Training
37,1,0,9,1.7882111,Loss,Validation
38,1,0,9,0.652447,Accuracy,Training
39,1,0,9,0.5714897,Accuracy,Validation
40,1,0,10,1.8046955,Loss,Training
41,1,0,10,1.683556,Loss,Validation
42,1,0,10,0.665997,Accuracy,Training
43,1,0,10,0.5766591,Accuracy,Validation
44,1,0,11,1.7501606,Loss,Training
45,1,0,11,1.6686726,Loss,Validation
46,1,0,11,0.6576477,Accuracy,Training
47,1,0,11,0.59093034,Accuracy,Validation
48,1,0,12,1.6665949,Loss,Training
49,1,0,12,1.6383746,Loss,Validation
50,1,0,12,0.67419565,Accuracy,Training
51,1,0,12,0.60741997,Accuracy,Validation
52,1,0,13,1.6209033,Loss,Training
53,1,0,13,1.56337,Loss,Validation
54,1,0,13,0.661279,Accuracy,Training
55,1,0,13,0.61144197,Accuracy,Validation
56,1,0,14,1.5535948,Loss,Training
57,1,0,14,1.527199,Loss,Validation
58,1,0,14,0.67730224,Accuracy,Training
59,1,0,14,0.6195434,Accuracy,Validation
60,1,0,15,1.5078405,Loss,Training
61,1,0,15,1.438729,Loss,Validation
62,1,0,15,0.6880108,Accuracy,Training
63,1,0,15,0.56021625,Accuracy,Validation
64,1,0,16,1.4559867,Loss,Training
65,1,0,16,1.3898526,Loss,Validation
66,1,0,16,0.68884563,Accuracy,Training
67,1,0,16,0.62039864,Accuracy,Validation
68,1,0,17,1.4233868,Loss,Training
69,1,0,17,1.3638091,Loss,Validation
70,1,0,17,0.6915507,Accuracy,Training
71,1,0,17,0.5935493,Accuracy,Validation
72,1,0,18,1.3866224,Loss,Training
73,1,0,18,1.3440657,Loss,Validation
74,1,0,18,0.6941851,Accuracy,Training
75,1,0,18,0.6231674,Accuracy,Validation
76,1,0,19,1.3405282,Loss,Training
77,1,0,19,1.3585142,Loss,Validation
78,1,0,19,0.7021859,Accuracy,Training
79,1,0,19,0.5858843,Accuracy,Validation
80,1,0,20,1.3298448,Loss,Training
81,1,0,20,1.3391525,Loss,Validation
82,1,0,20,0.69838566,Accuracy,Training
83,1,0,20,0.60940665,Accuracy,Validation
84,1,0,21,1.2930223,Loss,Training
85,1,0,21,1.2920628,Loss,Validation
86,1,0,21,0.70192134,Accuracy,Training
87,1,0,21,0.6030489,Accuracy,Validation
88,1,0,22,1.2654355,Loss,Training
89,1,0,22,1.2446325,Loss,Validation
90,1,0,22,0.7076755,Accuracy,Training
91,1,0,22,0.61494625,Accuracy,Validation
92,1,0,23,1.2470112,Loss,Training
93,1,0,23,1.2350374,Loss,Validation
94,1,0,23,0.7096362,Accuracy,Training
95,1,0,23,0.6062683,Accuracy,Validation
96,1,0,24,1.237834,Loss,Training
97,1,0,24,1.1974545,Loss,Validation
98,1,0,24,0.7083342,Accuracy,Training
99,1,0,24,0.61534554,Accuracy,Validation
100,1,0,25,1.1930112,Loss,Training
101,1,0,25,1.2072748,Loss,Validation
102,1,0,25,0.7093976,Accuracy,Training
103,1,0,25,0.6057359,Accuracy,Validation
104,1,0,26,1.1753302,Loss,Training
105,1,0,26,1.2343543,Loss,Validation
106,1,0,26,0.7202902,Accuracy,Training
107,1,0,26,0.6263366,Accuracy,Validation
108,1,0,27,1.1717806,Loss,Training
109,1,0,27,1.1603553,Loss,Validation
110,1,0,27,0.71959865,Accuracy,Training
111,1,0,27,0.62348604,Accuracy,Validation
112,1,0,28,1.1550425,Loss,Training
113,1,0,28,1.171814,Loss,Validation
114,1,0,28,0.72760403,Accuracy,Training
115,1,0,28,0.62224233,Accuracy,Validation
116,1,0,29,1.105736,Loss,Training
117,1,0,29,1.1452752,Loss,Validation
118,1,0,29,0.735254,Accuracy,Training
119,1,0,29,0.62796104,Accuracy,Validation
120,1,0,30,1.0981375,Loss,Training
121,1,0,30,1.1473249,Loss,Validation
122,1,0,30,0.738006,Accuracy,Training
123,1,0,30,0.6200914,Accuracy,Validation
124,1,0,31,1.0977848,Loss,Training
125,1,0,31,1.1158152,Loss,Validation
126,1,0,31,0.7289074,Accuracy,Training
127,1,0,31,0.6337183,Accuracy,Validation
128,1,0,32,1.0654981,Loss,Training
129,1,0,32,1.131953,Loss,Validation
130,1,0,32,0.7410673,Accuracy,Training
131,1,0,32,0.6468397,Accuracy,Validation
132,1,0,33,1.0784416,Loss,Training
133,1,0,33,1.1113584,Loss,Validation
134,1,0,33,0.73012865,Accuracy,Training
135,1,0,33,0.63198555,Accuracy,Validation
136,1,0,34,1.0510997,Loss,Training
137,1,0,34,1.0591762,Loss,Validation
138,1,0,34,0.7429677,Accuracy,Training
139,1,0,34,0.643695,Accuracy,Validation
140,1,0,35,1.0167122,Loss,Training
141,1,0,35,1.0410858,Loss,Validation
142,1,0,35,0.74904525,Accuracy,Training
143,1,0,35,0.6483872,Accuracy,Validation
144,1,0,36,1.0097145,Loss,Training
145,1,0,36,1.0564032,Loss,Validation
146,1,0,36,0.7486226,Accuracy,Training
147,1,0,36,0.6151354,Accuracy,Validation
148,1,0,37,1.0295395,Loss,Training
149,1,0,37,1.0253662,Loss,Validation
150,1,0,37,0.73751485,Accuracy,Training
151,1,0,37,0.62232673,Accuracy,Validation
152,1,0,38,1.0006571,Loss,Training
153,1,0,38,1.0860221,Loss,Validation
154,1,0,38,0.7455702,Accuracy,Training
155,1,0,38,0.6303767,Accuracy,Validation
156,1,0,39,1.0093563,Loss,Training
157,1,0,39,1.0101013,Loss,Validation
158,1,0,39,0.7412368,Accuracy,Training
159,1,0,39,0.62193,Accuracy,Validation
160,1,0,40,0.97777575,Loss,Training
161,1,0,40,1.053698,Loss,Validation
162,1,0,40,0.7532201,Accuracy,Training
163,1,0,40,0.63198614,Accuracy,Validation
164,1,0,41,0.9772059,Loss,Training
165,1,0,41,1.049704,Loss,Validation
166,1,0,41,0.7477392,Accuracy,Training
167,1,0,41,0.6306867,Accuracy,Validation
168,1,0,42,0.9540919,Loss,Training
169,1,0,42,1.0108563,Loss,Validation
170,1,0,42,0.76220477,Accuracy,Training
171,1,0,42,0.6622676,Accuracy,Validation
172,1,0,43,0.97719306,Loss,Training
173,1,0,43,1.0140791,Loss,Validation
174,1,0,43,0.75033915,Accuracy,Training
175,1,0,43,0.6229018,Accuracy,Validation
176,1,0,44,0.944726,Loss,Training
177,1,0,44,1.0244213,Loss,Validation
178,1,0,44,0.7556892,Accuracy,Training
179,1,0,44,0.646745,Accuracy,Validation
180,1,0,45,0.96268463,Loss,Training
181,1,0,45,1.0411708,Loss,Validation
182,1,0,45,0.75002337,Accuracy,Training
183,1,0,45,0.6421341,Accuracy,Validation
184,1,0,46,0.93447435,Loss,Training
185,1,0,46,0.9624648,Loss,Validation
186,1,0,46,0.7593475,Accuracy,Training
187,1,0,46,0.64092904,Accuracy,Validation
188,1,0,47,0.9481044,Loss,Training
189,1,0,47,1.0500687,Loss,Validation
190,1,0,47,0.7558755,Accuracy,Training
191,1,0,47,0.6297385,Accuracy,Validation
192,1,0,48,0.92866343,Loss,Training
193,1,0,48,1.0666316,Loss,Validation
194,1,0,48,0.76566535,Accuracy,Training
195,1,0,48,0.6448587,Accuracy,Validation
196,1,0,49,0.8875044,Loss,Training
197,1,0,49,0.9989751,Loss,Validation
198,1,0,49,0.7704115,Accuracy,Training
199,1,0,49,0.6527978,Accuracy,Validation
200,1,0,50,0.9044291,Loss,Training
201,1,0,50,1.0375702,Loss,Validation
202,1,0,50,0.7654622,Accuracy,Training
203,1,0,50,0.6472255,Accuracy,Validation
204,1,0,51,0.8938667,Loss,Training
205,1,0,51,0.96405584,Loss,Validation
206,1,0,51,0.7666559,Accuracy,Training
207,1,0,51,0.62673795,Accuracy,Validation
208,1,0,52,0.92270386,Loss,Training
209,1,0,52,1.0025973,Loss,Validation
210,1,0,52,0.7636937,Accuracy,Training
211,1,0,52,0.63073397,Accuracy,Validation
212,1,0,53,0.9075596,Loss,Training
213,1,0,53,0.95191514,Loss,Validation
214,1,0,53,0.76545095,Accuracy,Training
