,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.6984448,Loss,Training
1,0,8,0,2.6093578,Loss,Validation
2,0,8,0,0.47969192,Accuracy,Training
3,0,8,0,0.40823346,Accuracy,Validation
4,0,8,0,2.823043,Loss Attention_Zone_Sign,Training
5,0,8,0,2.746002,Loss Attention_Zone_Sign,Validation
6,0,8,0,0.30604982,Accuracy Attention_Zone_Sign,Training
7,0,8,0,0.36245954,Accuracy Attention_Zone_Sign,Validation
8,0,8,0,2.5299559,Loss End_Of_Restriction_Sign,Training
9,0,8,0,2.5593522,Loss End_Of_Restriction_Sign,Validation
10,0,8,0,0.82492584,Accuracy End_Of_Restriction_Sign,Training
11,0,8,0,0.61904764,Accuracy End_Of_Restriction_Sign,Validation
12,0,8,0,2.7668407,Loss Give_Way_Sign,Training
13,0,8,0,2.7967818,Loss Give_Way_Sign,Validation
14,0,8,0,0.46503496,Accuracy Give_Way_Sign,Training
15,0,8,0,0.09507042,Accuracy Give_Way_Sign,Validation
16,0,8,0,2.576112,Loss Highway_Exit_In_100M_Sign,Training
17,0,8,0,2.365413,Loss Highway_Exit_In_100M_Sign,Validation
18,0,8,0,0.66768295,Accuracy Highway_Exit_In_100M_Sign,Training
19,0,8,0,0.47902098,Accuracy Highway_Exit_In_100M_Sign,Validation
20,0,8,0,2.5375211,Loss Highway_Exit_In_200M_Sign,Training
21,0,8,0,2.2736595,Loss Highway_Exit_In_200M_Sign,Validation
22,0,8,0,0.59546924,Accuracy Highway_Exit_In_200M_Sign,Training
23,0,8,0,0.83986926,Accuracy Highway_Exit_In_200M_Sign,Validation
24,0,8,0,2.5200372,Loss Highway_Exit_In_300M_Sign,Training
25,0,8,0,2.6020014,Loss Highway_Exit_In_300M_Sign,Validation
26,0,8,0,0.7596439,Accuracy Highway_Exit_In_300M_Sign,Training
27,0,8,0,0.118971065,Accuracy Highway_Exit_In_300M_Sign,Validation
28,0,8,0,2.8273544,Loss Highway_Exit_Sign,Training
29,0,8,0,2.4904876,Loss Highway_Exit_Sign,Validation
30,0,8,0,0.3159722,Accuracy Highway_Exit_Sign,Training
31,0,8,0,0.32764506,Accuracy Highway_Exit_Sign,Validation
32,0,8,0,2.8396497,Loss Mandatory_Direction_Sign,Training
33,0,8,0,3.0336952,Loss Mandatory_Direction_Sign,Validation
34,0,8,0,0.20761245,Accuracy Mandatory_Direction_Sign,Training
35,0,8,0,0.10784314,Accuracy Mandatory_Direction_Sign,Validation
36,0,8,0,2.5063143,Loss No_Entry_Sign,Training
37,0,8,0,2.5027232,Loss No_Entry_Sign,Validation
38,0,8,0,0.8108108,Accuracy No_Entry_Sign,Training
39,0,8,0,0.7090909,Accuracy No_Entry_Sign,Validation
40,0,8,0,2.8371303,Loss No_Overtaking_Sign,Training
41,0,8,0,2.7395957,Loss No_Overtaking_Sign,Validation
42,0,8,0,0.32673267,Accuracy No_Overtaking_Sign,Training
43,0,8,0,0.4968153,Accuracy No_Overtaking_Sign,Validation
44,0,8,0,2.7988505,Loss No_Parking_Sign,Training
45,0,8,0,2.4753437,Loss No_Parking_Sign,Validation
46,0,8,0,0.27508092,Accuracy No_Parking_Sign,Training
47,0,8,0,0.2926045,Accuracy No_Parking_Sign,Validation
48,0,8,0,2.7479188,Loss Parking_Sign,Training
49,0,8,0,2.8036108,Loss Parking_Sign,Validation
50,0,8,0,0.3846154,Accuracy Parking_Sign,Training
51,0,8,0,0.19578314,Accuracy Parking_Sign,Validation
52,0,8,0,2.5070534,Loss Pedestrian_Zone_Sign,Training
53,0,8,0,2.354805,Loss Pedestrian_Zone_Sign,Validation
54,0,8,0,0.5808824,Accuracy Pedestrian_Zone_Sign,Training
55,0,8,0,0.73220336,Accuracy Pedestrian_Zone_Sign,Validation
56,0,8,0,2.8092418,Loss Priority_Road_Sign,Training
57,0,8,0,2.5843613,Loss Priority_Road_Sign,Validation
58,0,8,0,0.32490975,Accuracy Priority_Road_Sign,Training
59,0,8,0,0.8584906,Accuracy Priority_Road_Sign,Validation
60,0,8,0,2.6996405,Loss Slippery_Road_Sign,Training
61,0,8,0,2.6441855,Loss Slippery_Road_Sign,Validation
62,0,8,0,0.53114754,Accuracy Slippery_Road_Sign,Training
63,0,8,0,0.16774194,Accuracy Slippery_Road_Sign,Validation
64,0,8,0,2.64494,Loss Speed_Limit_30_Sign,Training
65,0,8,0,2.3450246,Loss Speed_Limit_30_Sign,Validation
66,0,8,0,0.5589225,Accuracy Speed_Limit_30_Sign,Training
67,0,8,0,0.62068963,Accuracy Speed_Limit_30_Sign,Validation
68,0,8,0,2.7496946,Loss Speed_Limit_80_Sign,Training
69,0,8,0,2.7567708,Loss Speed_Limit_80_Sign,Validation
70,0,8,0,0.5620915,Accuracy Speed_Limit_80_Sign,Training
71,0,8,0,0.10067114,Accuracy Speed_Limit_80_Sign,Validation
72,0,8,0,2.860325,Loss Speed_Limit_100_Sign,Training
73,0,8,0,2.7518497,Loss Speed_Limit_100_Sign,Validation
74,0,8,0,0.16346154,Accuracy Speed_Limit_100_Sign,Training
75,0,8,0,0.50308645,Accuracy Speed_Limit_100_Sign,Validation
76,0,8,0,2.8046737,Loss Speed_Limit_120_Sign,Training
77,0,8,0,2.7021854,Loss Speed_Limit_120_Sign,Validation
78,0,8,0,0.31692308,Accuracy Speed_Limit_120_Sign,Training
79,0,8,0,0.26523298,Accuracy Speed_Limit_120_Sign,Validation
80,0,8,0,2.684751,Loss Traffic_Banned_Sign,Training
81,0,8,0,2.636618,Loss Traffic_Banned_Sign,Validation
82,0,8,0,0.39322034,Accuracy Traffic_Banned_Sign,Training
83,0,8,0,0.24013157,Accuracy Traffic_Banned_Sign,Validation
84,0,8,0,2.5962937,Loss Work_Zone_Sign,Training
85,0,8,0,2.6320503,Loss Work_Zone_Sign,Validation
86,0,8,0,0.70234114,Accuracy Work_Zone_Sign,Training
87,0,8,0,0.4404332,Accuracy Work_Zone_Sign,Validation
88,0,8,1,2.0911524,Loss,Training
89,0,8,1,2.2556043,Loss,Validation
90,0,8,1,0.8422382,Accuracy,Training
91,0,8,1,0.5389597,Accuracy,Validation
92,0,8,1,2.2671163,Loss Attention_Zone_Sign,Training
93,0,8,1,2.4334245,Loss Attention_Zone_Sign,Validation
94,0,8,1,0.67320263,Accuracy Attention_Zone_Sign,Training
95,0,8,1,0.4041298,Accuracy Attention_Zone_Sign,Validation
96,0,8,1,2.0328846,Loss End_Of_Restriction_Sign,Training
97,0,8,1,2.2473457,Loss End_Of_Restriction_Sign,Validation
98,0,8,1,0.8490566,Accuracy End_Of_Restriction_Sign,Training
99,0,8,1,0.62222224,Accuracy End_Of_Restriction_Sign,Validation
100,0,8,1,2.1104946,Loss Give_Way_Sign,Training
101,0,8,1,2.3557293,Loss Give_Way_Sign,Validation
102,0,8,1,0.93209875,Accuracy Give_Way_Sign,Training
103,0,8,1,0.5833333,Accuracy Give_Way_Sign,Validation
104,0,8,1,1.951177,Loss Highway_Exit_In_100M_Sign,Training
105,0,8,1,2.0874915,Loss Highway_Exit_In_100M_Sign,Validation
106,0,8,1,0.8821549,Accuracy Highway_Exit_In_100M_Sign,Training
107,0,8,1,0.6828479,Accuracy Highway_Exit_In_100M_Sign,Validation
108,0,8,1,1.9328775,Loss Highway_Exit_In_200M_Sign,Training
109,0,8,1,1.8798872,Loss Highway_Exit_In_200M_Sign,Validation
110,0,8,1,0.7245902,Accuracy Highway_Exit_In_200M_Sign,Training
111,0,8,1,0.8611111,Accuracy Highway_Exit_In_200M_Sign,Validation
112,0,8,1,1.8347319,Loss Highway_Exit_In_300M_Sign,Training
113,0,8,1,2.3352396,Loss Highway_Exit_In_300M_Sign,Validation
114,0,8,1,0.9752322,Accuracy Highway_Exit_In_300M_Sign,Training
115,0,8,1,0.13576159,Accuracy Highway_Exit_In_300M_Sign,Validation
116,0,8,1,2.1049354,Loss Highway_Exit_Sign,Training
117,0,8,1,2.0565891,Loss Highway_Exit_Sign,Validation
118,0,8,1,0.9644013,Accuracy Highway_Exit_Sign,Training
119,0,8,1,0.84859157,Accuracy Highway_Exit_Sign,Validation
120,0,8,1,2.2432468,Loss Mandatory_Direction_Sign,Training
121,0,8,1,2.8603005,Loss Mandatory_Direction_Sign,Validation
122,0,8,1,0.78911567,Accuracy Mandatory_Direction_Sign,Training
123,0,8,1,0.23624596,Accuracy Mandatory_Direction_Sign,Validation
124,0,8,1,2.0479736,Loss No_Entry_Sign,Training
125,0,8,1,2.4134448,Loss No_Entry_Sign,Validation
126,0,8,1,0.86734694,Accuracy No_Entry_Sign,Training
127,0,8,1,0.29773462,Accuracy No_Entry_Sign,Validation
128,0,8,1,2.3163855,Loss No_Overtaking_Sign,Training
129,0,8,1,2.3826864,Loss No_Overtaking_Sign,Validation
130,0,8,1,0.78996867,Accuracy No_Overtaking_Sign,Training
131,0,8,1,0.62091506,Accuracy No_Overtaking_Sign,Validation
132,0,8,1,2.2994123,Loss No_Parking_Sign,Training
133,0,8,1,2.0811362,Loss No_Parking_Sign,Validation
134,0,8,1,0.73239434,Accuracy No_Parking_Sign,Training
135,0,8,1,0.7791411,Accuracy No_Parking_Sign,Validation
136,0,8,1,2.1983836,Loss Parking_Sign,Training
137,0,8,1,2.416892,Loss Parking_Sign,Validation
138,0,8,1,0.67636365,Accuracy Parking_Sign,Training
139,0,8,1,0.25170067,Accuracy Parking_Sign,Validation
140,0,8,1,1.5553219,Loss Pedestrian_Zone_Sign,Training
141,0,8,1,1.7619057,Loss Pedestrian_Zone_Sign,Validation
142,0,8,1,1.0,Accuracy Pedestrian_Zone_Sign,Training
143,0,8,1,0.86885244,Accuracy Pedestrian_Zone_Sign,Validation
144,0,8,1,1.9842529,Loss Priority_Road_Sign,Training
145,0,8,1,1.8541291,Loss Priority_Road_Sign,Validation
146,0,8,1,0.9695122,Accuracy Priority_Road_Sign,Training
147,0,8,1,1.0,Accuracy Priority_Road_Sign,Validation
148,0,8,1,2.1978526,Loss Slippery_Road_Sign,Training
149,0,8,1,2.2910898,Loss Slippery_Road_Sign,Validation
150,0,8,1,0.9003322,Accuracy Slippery_Road_Sign,Training
151,0,8,1,0.3312102,Accuracy Slippery_Road_Sign,Validation
152,0,8,1,1.870603,Loss Speed_Limit_30_Sign,Training
153,0,8,1,1.7159948,Loss Speed_Limit_30_Sign,Validation
154,0,8,1,0.9419355,Accuracy Speed_Limit_30_Sign,Training
155,0,8,1,1.0,Accuracy Speed_Limit_30_Sign,Validation
156,0,8,1,2.2062101,Loss Speed_Limit_80_Sign,Training
157,0,8,1,2.3386111,Loss Speed_Limit_80_Sign,Validation
158,0,8,1,0.9352941,Accuracy Speed_Limit_80_Sign,Training
159,0,8,1,0.6643836,Accuracy Speed_Limit_80_Sign,Validation
160,0,8,1,2.2268512,Loss Speed_Limit_100_Sign,Training
161,0,8,1,2.4034557,Loss Speed_Limit_100_Sign,Validation
162,0,8,1,0.7866667,Accuracy Speed_Limit_100_Sign,Training
163,0,8,1,0.46078432,Accuracy Speed_Limit_100_Sign,Validation
164,0,8,1,2.4154072,Loss Speed_Limit_120_Sign,Training
165,0,8,1,2.4417634,Loss Speed_Limit_120_Sign,Validation
166,0,8,1,0.5798611,Accuracy Speed_Limit_120_Sign,Training
167,0,8,1,0.2434457,Accuracy Speed_Limit_120_Sign,Validation
168,0,8,1,2.069079,Loss Traffic_Banned_Sign,Training
169,0,8,1,2.5516453,Loss Traffic_Banned_Sign,Validation
170,0,8,1,0.8633093,Accuracy Traffic_Banned_Sign,Training
171,0,8,1,0.0,Accuracy Traffic_Banned_Sign,Validation
172,0,8,1,2.0489984,Loss Work_Zone_Sign,Training
173,0,8,1,2.458928,Loss Work_Zone_Sign,Validation
174,0,8,1,0.8541667,Accuracy Work_Zone_Sign,Training
175,0,8,1,0.42574257,Accuracy Work_Zone_Sign,Validation
176,0,8,2,1.6546587,Loss,Training
177,0,8,2,2.023092,Loss,Validation
178,0,8,2,0.90014803,Accuracy,Training
179,0,8,2,0.58227205,Accuracy,Validation
180,0,8,2,1.7848864,Loss Attention_Zone_Sign,Training
181,0,8,2,2.1665742,Loss Attention_Zone_Sign,Validation
182,0,8,2,0.8464052,Accuracy Attention_Zone_Sign,Training
183,0,8,2,0.50179213,Accuracy Attention_Zone_Sign,Validation
184,0,8,2,1.6279391,Loss End_Of_Restriction_Sign,Training
185,0,8,2,1.9949689,Loss End_Of_Restriction_Sign,Validation
186,0,8,2,0.85897434,Accuracy End_Of_Restriction_Sign,Training
187,0,8,2,0.58419245,Accuracy End_Of_Restriction_Sign,Validation
188,0,8,2,1.5895747,Loss Give_Way_Sign,Training
189,0,8,2,2.2921488,Loss Give_Way_Sign,Validation
190,0,8,2,0.9705882,Accuracy Give_Way_Sign,Training
191,0,8,2,0.4276316,Accuracy Give_Way_Sign,Validation
192,0,8,2,1.584982,Loss Highway_Exit_In_100M_Sign,Training
193,0,8,2,1.8769307,Loss Highway_Exit_In_100M_Sign,Validation
194,0,8,2,0.9376947,Accuracy Highway_Exit_In_100M_Sign,Training
195,0,8,2,0.6292835,Accuracy Highway_Exit_In_100M_Sign,Validation
196,0,8,2,1.5521153,Loss Highway_Exit_In_200M_Sign,Training
197,0,8,2,1.6021326,Loss Highway_Exit_In_200M_Sign,Validation
198,0,8,2,0.87086093,Accuracy Highway_Exit_In_200M_Sign,Training
199,0,8,2,0.8428094,Accuracy Highway_Exit_In_200M_Sign,Validation
200,0,8,2,1.486307,Loss Highway_Exit_In_300M_Sign,Training
201,0,8,2,2.3312957,Loss Highway_Exit_In_300M_Sign,Validation
202,0,8,2,0.9755245,Accuracy Highway_Exit_In_300M_Sign,Training
203,0,8,2,0.0,Accuracy Highway_Exit_In_300M_Sign,Validation
204,0,8,2,1.6688036,Loss Highway_Exit_Sign,Training
205,0,8,2,1.6306486,Loss Highway_Exit_Sign,Validation
206,0,8,2,0.9901639,Accuracy Highway_Exit_Sign,Training
207,0,8,2,0.8641115,Accuracy Highway_Exit_Sign,Validation
