,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.6901767,Loss,Training
1,0,8,0,2.604057,Loss,Validation
2,0,8,0,0.491799,Accuracy,Training
3,0,8,0,0.4429982,Accuracy,Validation
4,0,8,0,2.8084202,Loss Attention_Zone_Sign,Training
5,0,8,0,2.7217834,Loss Attention_Zone_Sign,Validation
6,0,8,0,0.31672597,Accuracy Attention_Zone_Sign,Training
7,0,8,0,0.36245954,Accuracy Attention_Zone_Sign,Validation
8,0,8,0,2.5281796,Loss End_Of_Restriction_Sign,Training
9,0,8,0,2.5584877,Loss End_Of_Restriction_Sign,Validation
10,0,8,0,0.79821956,Accuracy End_Of_Restriction_Sign,Training
11,0,8,0,0.61904764,Accuracy End_Of_Restriction_Sign,Validation
12,0,8,0,2.7571502,Loss Give_Way_Sign,Training
13,0,8,0,2.8029158,Loss Give_Way_Sign,Validation
14,0,8,0,0.46853146,Accuracy Give_Way_Sign,Training
15,0,8,0,0.2112676,Accuracy Give_Way_Sign,Validation
16,0,8,0,2.558459,Loss Highway_Exit_In_100M_Sign,Training
17,0,8,0,2.3291037,Loss Highway_Exit_In_100M_Sign,Validation
18,0,8,0,0.69512194,Accuracy Highway_Exit_In_100M_Sign,Training
19,0,8,0,0.6678322,Accuracy Highway_Exit_In_100M_Sign,Validation
20,0,8,0,2.5316195,Loss Highway_Exit_In_200M_Sign,Training
21,0,8,0,2.2636662,Loss Highway_Exit_In_200M_Sign,Validation
22,0,8,0,0.59546924,Accuracy Highway_Exit_In_200M_Sign,Training
23,0,8,0,0.83986926,Accuracy Highway_Exit_In_200M_Sign,Validation
24,0,8,0,2.5165572,Loss Highway_Exit_In_300M_Sign,Training
25,0,8,0,2.6002874,Loss Highway_Exit_In_300M_Sign,Validation
26,0,8,0,0.8041543,Accuracy Highway_Exit_In_300M_Sign,Training
27,0,8,0,0.0,Accuracy Highway_Exit_In_300M_Sign,Validation
28,0,8,0,2.8104944,Loss Highway_Exit_Sign,Training
29,0,8,0,2.4606454,Loss Highway_Exit_Sign,Validation
30,0,8,0,0.35416666,Accuracy Highway_Exit_Sign,Training
31,0,8,0,0.32764506,Accuracy Highway_Exit_Sign,Validation
32,0,8,0,2.8253481,Loss Mandatory_Direction_Sign,Training
33,0,8,0,3.0441082,Loss Mandatory_Direction_Sign,Validation
34,0,8,0,0.2214533,Accuracy Mandatory_Direction_Sign,Training
35,0,8,0,0.10784314,Accuracy Mandatory_Direction_Sign,Validation
36,0,8,0,2.4941304,Loss No_Entry_Sign,Training
37,0,8,0,2.5111222,Loss No_Entry_Sign,Validation
38,0,8,0,0.8498498,Accuracy No_Entry_Sign,Training
39,0,8,0,0.58484846,Accuracy No_Entry_Sign,Validation
40,0,8,0,2.8261113,Loss No_Overtaking_Sign,Training
41,0,8,0,2.7516854,Loss No_Overtaking_Sign,Validation
42,0,8,0,0.36633664,Accuracy No_Overtaking_Sign,Training
43,0,8,0,0.38535032,Accuracy No_Overtaking_Sign,Validation
44,0,8,0,2.8036563,Loss No_Parking_Sign,Training
45,0,8,0,2.470647,Loss No_Parking_Sign,Validation
46,0,8,0,0.24271844,Accuracy No_Parking_Sign,Training
47,0,8,0,0.40192926,Accuracy No_Parking_Sign,Validation
48,0,8,0,2.74595,Loss Parking_Sign,Training
49,0,8,0,2.7943587,Loss Parking_Sign,Validation
50,0,8,0,0.39102563,Accuracy Parking_Sign,Training
51,0,8,0,0.19578314,Accuracy Parking_Sign,Validation
52,0,8,0,2.5007021,Loss Pedestrian_Zone_Sign,Training
53,0,8,0,2.327674,Loss Pedestrian_Zone_Sign,Validation
54,0,8,0,0.5735294,Accuracy Pedestrian_Zone_Sign,Training
55,0,8,0,0.73220336,Accuracy Pedestrian_Zone_Sign,Validation
56,0,8,0,2.7970319,Loss Priority_Road_Sign,Training
57,0,8,0,2.5767207,Loss Priority_Road_Sign,Validation
58,0,8,0,0.3465704,Accuracy Priority_Road_Sign,Training
59,0,8,0,0.8584906,Accuracy Priority_Road_Sign,Validation
60,0,8,0,2.6964278,Loss Slippery_Road_Sign,Training
61,0,8,0,2.647385,Loss Slippery_Road_Sign,Validation
62,0,8,0,0.55409837,Accuracy Slippery_Road_Sign,Training
63,0,8,0,0.30645162,Accuracy Slippery_Road_Sign,Validation
64,0,8,0,2.638033,Loss Speed_Limit_30_Sign,Training
65,0,8,0,2.3210802,Loss Speed_Limit_30_Sign,Validation
66,0,8,0,0.57239056,Accuracy Speed_Limit_30_Sign,Training
67,0,8,0,0.76489025,Accuracy Speed_Limit_30_Sign,Validation
68,0,8,0,2.738552,Loss Speed_Limit_80_Sign,Training
69,0,8,0,2.7339187,Loss Speed_Limit_80_Sign,Validation
70,0,8,0,0.54901963,Accuracy Speed_Limit_80_Sign,Training
71,0,8,0,0.2181208,Accuracy Speed_Limit_80_Sign,Validation
72,0,8,0,2.8468475,Loss Speed_Limit_100_Sign,Training
73,0,8,0,2.7788384,Loss Speed_Limit_100_Sign,Validation
