,seed,examples_per_class,epoch,value,metric,split
0,0,8,0,2.6405592,Loss,Training
1,0,8,0,2.584971,Loss,Validation
2,0,8,0,0.54899967,Accuracy,Training
3,0,8,0,0.4172,Accuracy,Validation
4,0,8,0,2.7552462,Loss Attention_Zone_Sign,Training
5,0,8,0,2.7249577,Loss Attention_Zone_Sign,Validation
6,0,8,0,0.3950178,Accuracy Attention_Zone_Sign,Training
7,0,8,0,0.21035598,Accuracy Attention_Zone_Sign,Validation
8,0,8,0,2.4680767,Loss End_Of_Restriction_Sign,Training
9,0,8,0,2.5451088,Loss End_Of_Restriction_Sign,Validation
10,0,8,0,0.8189911,Accuracy End_Of_Restriction_Sign,Training
11,0,8,0,0.61904764,Accuracy End_Of_Restriction_Sign,Validation
12,0,8,0,2.7210445,Loss Give_Way_Sign,Training
13,0,8,0,2.7699966,Loss Give_Way_Sign,Validation
14,0,8,0,0.54195803,Accuracy Give_Way_Sign,Training
15,0,8,0,0.2112676,Accuracy Give_Way_Sign,Validation
16,0,8,0,2.4966452,Loss Highway_Exit_In_100M_Sign,Training
17,0,8,0,2.3094435,Loss Highway_Exit_In_100M_Sign,Validation
18,0,8,0,0.6890244,Accuracy Highway_Exit_In_100M_Sign,Training
19,0,8,0,0.6678322,Accuracy Highway_Exit_In_100M_Sign,Validation
20,0,8,0,2.4735317,Loss Highway_Exit_In_200M_Sign,Training
21,0,8,0,2.2492554,Loss Highway_Exit_In_200M_Sign,Validation
22,0,8,0,0.6796116,Accuracy Highway_Exit_In_200M_Sign,Training
23,0,8,0,0.83986926,Accuracy Highway_Exit_In_200M_Sign,Validation
24,0,8,0,2.4765675,Loss Highway_Exit_In_300M_Sign,Training
25,0,8,0,2.5720918,Loss Highway_Exit_In_300M_Sign,Validation
26,0,8,0,0.8011869,Accuracy Highway_Exit_In_300M_Sign,Training
27,0,8,0,0.0,Accuracy Highway_Exit_In_300M_Sign,Validation
28,0,8,0,2.7139826,Loss Highway_Exit_Sign,Training
29,0,8,0,2.4404097,Loss Highway_Exit_Sign,Validation
30,0,8,0,0.49305555,Accuracy Highway_Exit_Sign,Training
31,0,8,0,0.20819113,Accuracy Highway_Exit_Sign,Validation
32,0,8,0,2.757488,Loss Mandatory_Direction_Sign,Training
33,0,8,0,2.969995,Loss Mandatory_Direction_Sign,Validation
34,0,8,0,0.30103806,Accuracy Mandatory_Direction_Sign,Training
35,0,8,0,0.10784314,Accuracy Mandatory_Direction_Sign,Validation
36,0,8,0,2.4438736,Loss No_Entry_Sign,Training
37,0,8,0,2.540514,Loss No_Entry_Sign,Validation
38,0,8,0,0.8918919,Accuracy No_Entry_Sign,Training
39,0,8,0,0.43939394,Accuracy No_Entry_Sign,Validation
40,0,8,0,2.7523212,Loss No_Overtaking_Sign,Training
41,0,8,0,2.752344,Loss No_Overtaking_Sign,Validation
42,0,8,0,0.48514852,Accuracy No_Overtaking_Sign,Training
43,0,8,0,0.38535032,Accuracy No_Overtaking_Sign,Validation
44,0,8,0,2.7683365,Loss No_Parking_Sign,Training
45,0,8,0,2.4562697,Loss No_Parking_Sign,Validation
46,0,8,0,0.33009708,Accuracy No_Parking_Sign,Training
47,0,8,0,0.3954984,Accuracy No_Parking_Sign,Validation
48,0,8,0,2.7083967,Loss Parking_Sign,Training
49,0,8,0,2.7955656,Loss Parking_Sign,Validation
50,0,8,0,0.43269232,Accuracy Parking_Sign,Training
51,0,8,0,0.19578314,Accuracy Parking_Sign,Validation
52,0,8,0,2.4738944,Loss Pedestrian_Zone_Sign,Training
53,0,8,0,2.3186214,Loss Pedestrian_Zone_Sign,Validation
54,0,8,0,0.6102941,Accuracy Pedestrian_Zone_Sign,Training
55,0,8,0,0.73220336,Accuracy Pedestrian_Zone_Sign,Validation
56,0,8,0,2.767943,Loss Priority_Road_Sign,Training
57,0,8,0,2.5331993,Loss Priority_Road_Sign,Validation
58,0,8,0,0.40072203,Accuracy Priority_Road_Sign,Training
59,0,8,0,0.8584906,Accuracy Priority_Road_Sign,Validation
60,0,8,0,2.6827915,Loss Slippery_Road_Sign,Training
61,0,8,0,2.6257126,Loss Slippery_Road_Sign,Validation
62,0,8,0,0.52786887,Accuracy Slippery_Road_Sign,Training
63,0,8,0,0.30645162,Accuracy Slippery_Road_Sign,Validation
64,0,8,0,2.5945625,Loss Speed_Limit_30_Sign,Training
65,0,8,0,2.3216066,Loss Speed_Limit_30_Sign,Validation
66,0,8,0,0.60942763,Accuracy Speed_Limit_30_Sign,Training
67,0,8,0,0.76489025,Accuracy Speed_Limit_30_Sign,Validation
68,0,8,0,2.6973288,Loss Speed_Limit_80_Sign,Training
69,0,8,0,2.6939344,Loss Speed_Limit_80_Sign,Validation
70,0,8,0,0.66993463,Accuracy Speed_Limit_80_Sign,Training
71,0,8,0,0.3590604,Accuracy Speed_Limit_80_Sign,Validation
72,0,8,0,2.8189611,Loss Speed_Limit_100_Sign,Training
73,0,8,0,2.7993658,Loss Speed_Limit_100_Sign,Validation
74,0,8,0,0.25641027,Accuracy Speed_Limit_100_Sign,Training
75,0,8,0,0.24382716,Accuracy Speed_Limit_100_Sign,Validation
76,0,8,0,2.7845874,Loss Speed_Limit_120_Sign,Training
77,0,8,0,2.6513858,Loss Speed_Limit_120_Sign,Validation
78,0,8,0,0.35076922,Accuracy Speed_Limit_120_Sign,Training
79,0,8,0,0.26523298,Accuracy Speed_Limit_120_Sign,Validation
80,0,8,0,2.5878315,Loss Traffic_Banned_Sign,Training
81,0,8,0,2.5967844,Loss Traffic_Banned_Sign,Validation
82,0,8,0,0.4779661,Accuracy Traffic_Banned_Sign,Training
83,0,8,0,0.35855263,Accuracy Traffic_Banned_Sign,Validation
84,0,8,0,2.5083313,Loss Work_Zone_Sign,Training
85,0,8,0,2.6178298,Loss Work_Zone_Sign,Validation
86,0,8,0,0.7658863,Accuracy Work_Zone_Sign,Training
87,0,8,0,0.59205776,Accuracy Work_Zone_Sign,Validation
88,0,8,1,1.9378787,Loss,Training
89,0,8,1,2.2248738,Loss,Validation
90,0,8,1,0.9155923,Accuracy,Training
91,0,8,1,0.52682906,Accuracy,Validation
92,0,8,1,2.0940058,Loss Attention_Zone_Sign,Training
93,0,8,1,2.3770375,Loss Attention_Zone_Sign,Validation
